23001,<b>,4,3,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,4,2,4,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,2,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,4,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,4,2,1,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23002,<b>,3,5,2,3,2,1,<e>,<b>,3,2,3,2,1,<e>,<b>,3,2,3,2,5,2,1,<e>,<b>,3,2,3,2,1,<e>,<b>,3,2,3,2,1,<e>,<b>,2,1,3,2,1,<e>,<b>,3,2,3,2,5,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23003,<b>,3,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23005,<b>,3,4,4,1,2,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,<e>,<b>,3,4,2,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,<e>,<b>,5,1,5,1,<e>,<b>,3,4,1,5,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,<e>,<b>,3,4,2,1,<e>,<b>,3,4,2,1,<e>,<b>,3,2,1,<e>,<b>,3,4,1,<e>,<b>,3,4,1,2,1,<e>,<b>,3,4,2,1,<e>,<b>,4,1,<e>,<b>,2,1,2,1,2,1,<e>,<b>,4,3,4,1,<e>,<b>,3,4,4.0,1,<e>,<b>,3,4,1,<e>,<b>,3,4.0,1,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23010,<b>,3,5,1,<e>,<b>,3,1,<e>,<b>,3,5,1,<e>,<b>,5,1,<e>,<b>,3,5,1,<e>,<b>,5,1,<e>,<b>,5,1,<e>,<b>,3,5,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,3,5,1,<e>,<b>,3,5,1,<e>,<b>,3,5,1,<e>,<b>,3,5,1,<e>,<b>,5,1,<e>,<b>,3,5,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23014,<b>,3,1,<e>,<b>,3,1,<e>,<b>,4,1,<e>,<b>,3,1,<e>,<b>,2,1,2,1,<e>,<b>,3,2,1,<e>,<b>,3,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,3,2,1,<e>,<b>,3,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23023,<b>,2,1,1,<e>,<b>,3,4,3,1,<e>,<b>,3,1,<e>,<b>,3,2,1,<e>,<b>,3,2,1,<e>,<b>,3,1,<e>,<b>,5,2,1,<e>,<b>,3,2,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,2,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,3,4,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,2,1,<e>,<b>,3,4,1,<e>,<b>,3,1,<e>,<b>,3,4,1,2,1,<e>,<b>,3,2,1,<e>,<b>,2,1,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23024,<b>,3,1,<e>,<b>,4,1,<e>,<b>,3,1,<e>,<b>,4,3,1,<e>,<b>,4,1,4,2,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,4,1,<e>,<b>,3,1,3,1,<e>,<b>,4,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,3,4,1,4,1,<e>,<b>,4,1,<e>,<b>,3,1,<e>,<b>,4,3,1,<e>,<b>,3,1,<e>,<b>,5,3,1,<e>,<b>,4,5,1,<e>,<b>,4,3,1,<e>,<b>,4,3,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23027,<b>,3,3,2,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,3,2,1,<e>,<b>,3,1,<e>,<b>,5,2,1,5,2,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,5,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,4,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23034,<b>,5,2,1,<e>,<b>,5,1,5,2,1,5,1,<e>,<b>,2,1,<e>,<b>,2,1,5,1,<e>,<b>,2,1,5,1,<e>,<b>,5,2,1,<e>,<b>,5,1,5,1,<e>,<b>,2,1,5,1,<e>,<b>,5,1,<e>,<b>,5,1,<e>,<b>,2,1,<e>,<b>,5,1,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23036,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23037,<b>,3,1,<e>,<b>,5,1,<e>,<b>,3,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23040,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,2,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23042,<b>,2,1,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,3,2,1,<e>,<b>,3,2,1,<e>,<b>,2,1,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,3,4,3,2,1,<e>,<b>,3,1,<e>,<b>,2,1,<e>,<b>,2,3,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23044,<b>,5,1,5,1,<e>,<b>,2,1,<e>,<b>,3,1,<e>,<b>,2,1,2,1,<e>,<b>,2,1,<e>,<b>,3,2,1,<e>,<b>,3,2,1,<e>,<b>,3,1,<e>,<b>,2,5,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23045,<b>,3,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,5,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,2,1,<e>,<b>,5,1,<e>,<b>,2,1,<e>,<b>,5,1,<e>,<b>,5,1,<e>,<b>,5,1,<e>,<b>,2,1,<e>,<b>,5,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23047,<b>,3,4,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,5,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23058,<b>,2,2,1,<e>,<b>,5,2,5,1,<e>,<b>,5,2,5,2,1,<e>,<b>,2,1,2,1,<e>,<b>,2,5,2,1,<e>,<b>,2,1,<e>,<b>,2,5,2,1,<e>,<b>,2,1,<e>,<b>,5,2,5,2,1,<e>,<b>,5,2,5,1,<e>,<b>,2,5,2,5,1,<e>,<b>,2,1,<e>,<b>,2,5,2,1,<e>,<b>,2,1,<e>,<b>,5,2,1,<e>,<b>,2,5,2,1,<e>,<b>,2,1,<e>,<b>,5,2,1,<e>,<b>,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23059,<b>,3,1,2,1,<e>,<b>,3,1,<e>,<b>,3,5,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,3,1,<e>,<b>,4,1,<e>,<b>,2,1,<e>,<b>,3,2,1,<e>,<b>,5,1,<e>,<b>,2,1,<e>,<b>,3,2,1,<e>,<b>,3,2,1,<e>,<b>,3,5,1,<e>,<b>,5,3,1,<e>,<b>,3,5,3,2,1,2,5,1,<e>,<b>,3,2,1,<e>,<b>,3,1,<e>,<b>,2,1,3,1,<e>,<b>,5,2,1,<e>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
