userid,age,gender,homezone,workzone
23001,47,0.0,,
23003,42,0.0,,
23004,37,1.0,,
23006,51,1.0,,
23007,21,0.0,,
23010,55,0.0,,
23011,52,0.0,,
23012,48,0.0,,
23019,45,0.0,,
23024,28,1.0,,
23025,47,0.0,,
23030,33,0.0,,
23031,56,0.0,,
23032,51,0.0,,
23038,52,0.0,,
23040,35,1.0,,
23049,32,1.0,,
23051,41,1.0,,
23052,48,0.0,,
23061,40,0.0,,
23062,61,0.0,,
23064,36,0.0,,
23073,34,0.0,,
23074,31,1.0,,
23077,22,1.0,,
23078,62,0.0,,
23079,40,0.0,,
23080,45,1.0,,
23084,34,1.0,,
23089,52,0.0,,
23094,60,0.0,,
23095,52,0.0,,
23096,48,0.0,,
23097,55,0.0,,
23105,51,0.0,,
23110,22,1.0,,
23115,34,0.0,,
23121,53,0.0,,
23122,45,0.0,,
23123,31,1.0,,
23126,57,1.0,,
23129,45,0.0,,
23130,25,1.0,,
23141,55,1.0,,
23144,55,0.0,,
23145,33,1.0,,
23147,35,1.0,,
23154,46,0.0,,
23156,48,1.0,,
23157,40,1.0,,
23159,21,1.0,,
23160,63,1.0,,
23162,35,0.0,,
23171,51,0.0,,
23174,46,0.0,,
23178,41,0.0,,
23179,58,0.0,,
23180,34,0.0,,
23184,36,0.0,,
23188,30,1.0,,
23191,58,0.0,,
23195,59,1.0,,
23199,26,1.0,,
23203,27,1.0,,
23208,62,0.0,,
23215,56,0.0,,
23216,26,0.0,,
23218,48,0.0,,
23221,44,0.0,,
23226,50,0.0,,
23233,57,0.0,,
23027,29,1.0,,
23037,49,0.0,,
23044,28,1.0,,
23056,60,0.0,,
23058,52,1.0,,
23067,20,1.0,,
23083,50,0.0,,
23085,35,1.0,,
23111,21,1.0,,
23152,64,1.0,,
23155,35,1.0,,
23166,48,1.0,,
23182,51,0.0,,
23222,40,1.0,,
23223,41,0.0,,
23017,40,0.0,,
23101,52,0.0,,
23116,22,0.0,,
23133,49,0.0,,
23153,50,1.0,,
23158,50,1.0,,
23187,62,0.0,,
23194,36,0.0,,
23229,59,0.0,,
23005,52,0.0,,
23053,20,1.0,,
23059,31,1.0,,
23065,66,0.0,,
23093,24,1.0,,
23108,46,0.0,,
23114,28,0.0,,
23131,28,1.0,,
23136,48,0.0,,
23148,62,0.0,,
23151,42,1.0,,
23170,47,1.0,,
23213,51,0.0,,
23225,59,0.0,,
23244,38,1.0,,
23020,26,1.0,,
23022,47,1.0,,
23048,60,0.0,,
23066,57,0.0,,
23081,57,0.0,,
23090,53,0.0,,
23100,30,1.0,,
23109,43,0.0,,
23125,31,1.0,,
23132,49,1.0,,
23142,36,1.0,,
23173,23,0.0,,
23181,39,0.0,,
23198,57,0.0,,
23207,26,1.0,,
23232,49,0.0,,
23234,46,1.0,,
23240,40,0.0,,
23023,45,0.0,,
23039,62,1.0,,
23046,50,0.0,,
23047,50,0.0,,
23117,28,1.0,,
23118,32,0.0,,
23140,46,1.0,,
23146,28,1.0,,
23165,33,0.0,,
23176,34,0.0,,
23235,67,0.0,,
23245,57,0.0,,
23002,46,0.0,,
23008,50,0.0,,
23009,50,1.0,,
23013,34,0.0,,
23014,48,0.0,,
23015,37,0.0,,
23016,44,0.0,,
23018,56,0.0,,
23021,31,1.0,,
23026,57,0.0,,
23028,37,1.0,,
23029,30,0.0,,
23033,48,0.0,,
23034,58,1.0,,
23035,44,0.0,,
23036,52,0.0,,
23041,61,1.0,,
23042,44,1.0,,
23043,25,1.0,,
23045,30,1.0,,
23050,46,0.0,,
23054,26,1.0,,
23055,30,0.0,,
23057,62,1.0,,
23060,35,0.0,,
23063,43,1.0,,
23068,43,1.0,,
23069,37,1.0,,
23070,53,0.0,,
23071,55,1.0,,
23072,60,0.0,,
23075,51,0.0,,
23076,47,0.0,,
23082,60,0.0,,
23086,49,0.0,,
23087,42,0.0,,
23088,34,1.0,,
23091,43,0.0,,
23092,30,0.0,,
23098,61,0.0,,
23099,64,0.0,,
23102,41,1.0,,
23103,60,0.0,,
23104,38,1.0,,
23106,18,0.0,,
23107,61,1.0,,
23112,38,0.0,,
23113,41,0.0,,
23119,53,0.0,,
23120,45,0.0,,
23124,32,1.0,,
23127,31,1.0,,
23128,32,1.0,,
23134,58,0.0,,
23135,35,0.0,,
23137,51,0.0,,
23138,31,1.0,,
23139,66,0.0,,
23143,53,0.0,,
23149,32,0.0,,
23150,51,0.0,,
23161,70,1.0,,
23163,50,1.0,,
23164,57,1.0,,
23167,42,1.0,,
23168,51,1.0,,
23169,31,1.0,,
23172,53,1.0,,
23175,46,0.0,,
23177,58,1.0,,
23183,55,0.0,,
23185,32,0.0,,
23186,35,1.0,,
23189,51,0.0,,
23190,40,1.0,,
23192,68,0.0,,
23193,48,1.0,,
23196,28,1.0,,
23197,46,0.0,,
23200,48,0.0,,
23201,34,0.0,,
23202,66,0.0,,
23204,69,0.0,,
23205,43,0.0,,
23206,57,1.0,,
23209,43,1.0,,
23210,58,0.0,,
23211,66,0.0,,
23212,52,0.0,,
23214,56,0.0,,
23217,37,0.0,,
23219,32,1.0,,
23220,55,1.0,,
23224,38,1.0,,
23227,55,0.0,,
23228,35,1.0,,
23230,54,0.0,,
23231,38,1.0,,
23236,31,1.0,,
23237,35,1.0,,
23238,29,1.0,,
23239,38,1.0,,
23241,61,1.0,,
23242,67,0.0,,
23243,22,1.0,,
23251,54,0.0,,
23252,66,0.0,,
23253,58,0.0,,
23254,26,0.0,,
23255,44,1.0,,
23256,46,0.0,,
23257,45,0.0,,
23258,40,0.0,,
23259,51,0.0,,
23260,33,1.0,,
23601,24,0.0,,
23602,39,1.0,,
23603,31,0.0,,
23604,38,1.0,,
23605,30,0.0,,
23606,54,1.0,,
23607,30,0.0,,
23608,22,1.0,,
23609,51,0.0,,
23610,50,0.0,,
23611,27,1.0,,
23612,28,0.0,,
23613,34,0.0,,
23614,48,0.0,,
23615,46,1.0,,
23616,27,1.0,,
23617,29,1.0,,
23618,62,0.0,,
23619,33,1.0,,
23620,26,1.0,,
23621,68,0.0,,
23622,41,0.0,,
23623,47,1.0,,
23624,67,0.0,,
23625,54,0.0,,
23626,38,1.0,,
23627,23,0.0,,
23628,31,1.0,,
23629,48,0.0,,
23630,63,1.0,,
23631,60,0.0,,
23632,47,1.0,,
23633,32,0.0,,
23634,36,1.0,,
23635,57,1.0,,
23636,42,0.0,,
23637,58,0.0,,
23638,27,1.0,,
23639,46,0.0,,
23640,43,1.0,,
23641,53,1.0,,
23642,33,1.0,,
23643,22,0.0,,
23644,38,1.0,,
23645,36,1.0,,
23646,50,0.0,,
23647,48,0.0,,
23648,44,1.0,,
23649,35,1.0,,
23650,43,0.0,,
23651,38,0.0,,
23652,49,0.0,,
23653,65,0.0,,
23654,57,0.0,,
23655,33,1.0,,
23656,41,0.0,,
23657,50,0.0,,
23658,54,1.0,,
23659,37,0.0,,
23660,33,1.0,,
23661,60,0.0,,
23662,37,0.0,,
23663,24,1.0,,
23664,49,0.0,,
23665,33,0.0,,
23666,49,0.0,,
23667,33,0.0,,
23668,63,0.0,,
23669,56,0.0,,
23670,49,0.0,,
23671,59,0.0,,
23672,35,0.0,,
23673,34,1.0,,
23674,38,1.0,,
23675,47,0.0,,
23676,30,1.0,,
23677,36,0.0,,
23678,42,0.0,,
23679,49,1.0,,
23680,40,0.0,,
23681,64,0.0,,
23682,51,0.0,,
23683,54,1.0,,
23684,56,0.0,,
23685,66,0.0,,
23686,29,0.0,,
23687,49,1.0,,
23688,51,1.0,,
