0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
23002,533946,533946,533946,533946,533946,533946,<s1>,533946,533946,533946,533946,533946,<s2>,533946,533946,533946,533946,533946,533946,533946,<s3>,533946,533946,533946,533946,533946,<s4>,533946,533946,533946,533946,533946,<s5>,999999,<s6>,999999,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23002,533946,533946,533946,533946,533935,533946,533946,<s1>,533946,533946,533946,533946,533945,533935,533935,533935,<s2>,999999,<s3>,999999,<s4>,999999,<s5>,999999,<s6>,999999,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23003,533945,533945,<s1>,999999,<s2>,999999,<s3>,533933,533935,<s4>,999999,<s5>,533933,533946,533945,<s6>,533933,533946,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23003,533934,533935,<s1>,999999,<s2>,999999,<s3>,999999,<s4>,999999,<s5>,999999,<s6>,999999,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23003,533933,533935,<s1>,999999,<s2>,999999,<s3>,999999,<s4>,999999,<s5>,999999,<s6>,533933,533946,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23003,533933,533935,<s1>,999999,<s2>,999999,<s3>,533933,533935,<s4>,999999,<s5>,999999,<s6>,999999,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23005,533943,533945,533935,533945,533946,533943,533925,<s1>,533943,533925,533925,<s2>,533943,533925,533935,533925,<s3>,533943,533945,533943,533943,<s4>,533934,533925,533925,<s5>,533943,533925,533925,<s6>,533943,533945,533932,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23005,533943,533945,533935,533945,533943,533925,<s1>,533943,533925,533925,<s2>,533943,533925,533925,<s3>,533943,533945,533936,533946,533935,<s4>,533943,533925,533925,<s5>,533943,533935,533925,533925,<s6>,533943,533925,533925,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23005,533943,533925,533925,533935,<s1>,533943,533935,533925,533945,<s2>,533943,533945,533925,<s3>,533943,533925,533925,<s4>,533943,533925,533943,533943,<s5>,999999,<s6>,999999,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
23005,533943,533925,533925,533935,<s1>,533943,533946,533925,533925,<s2>,533943,533943,533943,533945,533943,533943,533943,533925,<s3>,533943,533943,533925,533925,<s4>,533943,533925,533925,<s5>,533943,533925,533943,<s6>,533943,533945,533945,533943,533925,<s>,<s>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>,<p>
