,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,15,2,4,1,2,1,1,0,7,4,0,8,1,1,1,0,2,0,9,0,0,10,11,11,10,1,12,0,14,3,14,0,14,0,14,1,14,12,14,0,14,2,14,14,12,14,0,14,14,0,14,14,0,14,11,14,0,14,12,14,14,11,14,14,14,0,0,14,0,14,1,14,0,14,14,0,14,14,11,14,14,13
1,15,1,0,2,1,2,0,0,5,8,2,4,2,4,1,0,0,7,9,1,1,10,2,10,1,2,1,0,1,0,12,14,1,14,0,14,14,0,14,14,14,14,14,1,0,8,14,0,14,0,14,14,14,0,14,14,14,14,14,14,12,14,12,14,14,14,14,0,14,14,0,0,14,14,0,14,11,14,14,14,14,14
2,15,2,0,7,5,8,1,2,0,9,5,10,2,1,0,11,1,12,1,0,0,4,2,14,3,14,0,14,0,14,11,14,12,14,11,14,0,14,14,12,14,14,14,14,14,14,14,14,14,14,14,1,14,14,14,12,14,14,14,14,14,14,14,14,14,13,14,0,14,14,14,0,14,0,14,14,0,14,14,1,14,14
3,15,1,0,7,5,8,4,0,9,2,0,10,5,11,5,11,12,14,12,14,14,0,14,14,12,14,0,14,14,1,14,14,14,14,12,14,0,14,14,14,11,14,0,14,14,14,11,14,1,14,14,0,14,12,14,1,14,14,1,14,14,14,14,14,14,0,14,14,0,1,14,14,12,14,14,1,14,14,14,14,14,14
4,15,1,0,7,5,8,5,9,4,0,10,1,0,11,2,0,12,5,0,14,12,14,0,14,14,14,11,14,14,14,14,14,14,14,14,14,0,14,14,12,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,0,14,14,14,14,11,14,14,0,14,14,14,14,0,14,14,14,14,14,14,14,14,11,14,1,14,13
5,15,2,0,7,5,8,2,9,1,1,0,10,5,11,11,3,12,1,0,0,14,0,14,5,14,12,14,0,14,14,12,14,14,2,14,0,14,14,14,1,14,14,0,14,14,14,14,14,1,14,14,0,14,0,14,14,1,14,14,14,0,14,14,14,14,14,0,14,14,14,14,14,14,14,14,14,14,1,14,0,14,14
6,15,2,3,3,3,0,7,2,3,0,8,3,9,0,10,5,11,2,5,4,5,12,14,12,14,0,14,14,14,14,0,14,14,14,0,14,14,3,14,0,14,0,14,14,14,14,14,14,14,0,14,14,14,14,0,14,14,12,14,0,14,14,14,0,0,14,14,14,14,0,14,14,14,14,11,14,14,14,14,14,14,14
7,15,2,3,3,0,7,2,0,8,2,0,9,1,1,0,10,4,1,0,11,4,0,1,1,0,0,2,0,3,12,0,0,14,14,14,14,14,0,14,14,14,12,14,14,14,14,14,0,14,12,14,14,14,14,14,14,0,14,14,14,1,14,14,14,14,14,14,0,14,14,14,14,14,14,14,0,14,14,14,14,14,14
8,15,2,3,1,0,7,5,8,5,9,5,10,5,11,2,12,1,0,14,12,14,0,0,14,14,14,14,14,14,0,14,0,14,0,14,14,14,14,14,14,14,14,11,14,14,12,14,14,14,14,0,14,14,0,14,12,14,14,0,14,14,14,14,14,14,0,14,14,14,14,14,14,14,14,14,14,0,14,14,14,14,14
9,15,2,3,1,0,7,2,0,8,0,9,10,0,11,5,12,2,2,14,0,14,0,14,14,14,12,14,12,14,14,14,0,14,14,14,14,14,14,14,14,0,14,0,14,14,14,14,14,14,14,14,0,14,14,14,14,14,14,0,14,14,0,14,14,14,14,0,14,14,14,14,14,14,14,14,2,14,0,14,14,0,14
10,15,2,4,0,7,4,0,8,1,4,0,9,5,10,2,0,11,5,1,1,2,2,1,12,14,1,14,0,14,14,14,1,14,14,0,14,1,14,1,0,14,14,14,14,14,12,14,14,0,14,0,14,14,14,0,14,1,14,14,14,0,14,14,0,14,14,14,14,14,14,0,14,14,0,14,14,14,14,14,14,14,14
11,15,2,4,0,7,5,8,1,0,9,2,10,0,11,5,12,5,14,14,14,14,14,14,14,0,14,14,14,14,0,14,14,14,1,14,14,0,14,14,14,14,14,14,0,14,14,14,14,0,14,14,14,11,14,0,14,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,14,7,14,14
12,15,1,0,7,1,4,3,1,1,0,0,4,9,5,10,0,11,0,12,0,14,12,14,0,14,12,14,14,12,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,4,14,0,14,0,14,14,14,14,14,14,14,14,14,14,14,2,0,14,14,14,14,14,14,14,14,14,14,0,14,0,14,0,14,14
13,15,2,4,0,7,5,8,2,0,0,9,1,0,10,4,0,0,10,12,14,0,14,14,12,14,14,14,14,0,14,12,14,14,14,0,14,14,1,14,14,14,14,14,14,14,14,0,1,14,14,14,0,14,14,14,14,14,14,0,14,14,14,1,1,14,14,0,14,14,12,14,0,14,14,11,14,14,14,0,14,14,13
14,15,2,0,7,2,0,8,5,9,5,10,5,11,5,12,5,14,12,14,14,14,12,14,14,14,0,14,14,12,14,14,12,14,14,14,14,14,14,14,14,14,0,14,14,0,14,14,14,14,11,14,14,0,14,14,0,14,12,14,14,14,14,14,14,14,14,0,14,14,14,14,0,14,14,14,14,14,14,0,14,14,13
15,15,2,1,0,7,2,3,0,8,5,9,1,10,0,11,5,0,2,0,12,14,14,14,14,14,14,3,14,14,0,14,14,14,0,14,14,14,14,14,14,0,14,14,0,14,14,12,14,12,14,12,14,0,14,14,14,14,14,14,14,0,14,14,5,14,14,14,14,14,14,14,14,14,1,14,14,14,14,14,14,0,14
16,15,1,0,7,1,1,1,0,8,1,2,4,0,9,5,4,1,1,10,1,0,11,0,12,14,14,14,0,14,14,1,14,12,14,0,14,14,12,14,0,7,14,14,12,0,14,14,14,14,14,14,14,14,0,14,14,14,11,0,14,11,14,0,14,11,14,11,14,14,11,14,14,14,14,14,11,14,14,1,14,14,14
17,15,2,1,0,7,2,0,8,1,9,1,0,10,5,0,12,2,14,1,14,0,14,14,0,14,13,14,12,14,0,14,14,14,12,14,14,14,0,14,4,14,14,14,14,0,14,0,14,14,14,14,14,1,14,14,1,14,14,0,0,14,14,0,14,1,14,1,14,14,14,1,14,14,1,14,14,0,14,14,14,14,14
18,15,1,0,7,2,0,8,5,1,9,1,1,1,1,11,10,3,0,11,0,12,0,14,11,14,14,14,0,14,12,14,14,14,0,14,12,14,14,14,14,0,0,14,11,14,14,12,14,0,14,14,14,14,14,14,12,14,14,14,14,0,14,0,14,14,14,0,14,14,14,12,14,1,14,11,14,14,0,14,14,14,14
19,15,4,1,0,7,2,2,0,8,2,2,9,2,10,0,11,1,0,14,12,14,3,14,12,14,0,14,0,14,14,14,0,14,12,14,11,14,14,14,1,14,14,14,2,0,14,0,14,13,14,14,14,14,5,1,14,14,14,0,14,0,14,14,0,14,0,11,14,0,14,14,14,1,14,14,0,14,14,14,14,14,14
20,15,2,3,1,1,0,7,1,0,8,4,3,0,9,4,1,0,10,2,2,1,0,0,0,12,3,14,14,14,14,14,0,14,14,14,14,14,14,12,14,0,14,14,1,14,1,14,14,0,14,14,14,14,0,14,14,14,14,14,14,14,14,1,14,14,14,14,14,14,14,0,14,14,14,4,14,14,0,14,11,0,14
21,15,2,1,0,7,5,8,4,0,9,1,0,0,5,1,11,0,1,10,1,3,0,1,12,0,3,14,1,14,3,14,0,14,0,14,14,4,14,0,1,14,14,12,14,14,0,14,0,14,14,0,14,14,0,14,14,14,14,14,14,14,14,14,14,0,14,11,14,14,14,0,14,1,1,14,12,14,14,14,14,14,13
22,15,2,0,7,3,4,8,3,10,0,13,12,14,14,12,14,14,0,14,12,14,14,14,0,14,0,14,13,14,12,14,14,13,14,0,14,14,14,14,14,14,14,14,14,0,14,0,14,14,3,14,14,0,14,14,14,1,14,14,12,14,14,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,14
23,15,2,0,7,3,0,8,2,9,0,10,5,11,5,12,2,14,4,14,1,14,1,14,0,14,12,14,0,1,0,14,12,14,1,14,1,14,0,14,1,14,1,14,0,14,14,0,14,14,0,14,1,14,14,0,14,14,1,14,0,14,14,0,14,14,0,14,0,14,14,14,0,14,14,0,14,14,14,14,14,1,14
24,15,1,0,7,1,1,2,0,8,5,9,4,5,10,0,0,5,12,0,0,14,14,14,12,14,12,14,14,14,14,14,14,14,14,1,14,0,14,14,14,14,14,14,14,14,1,14,14,14,14,0,14,14,14,14,14,14,14,1,14,0,14,14,14,0,0,14,14,0,14,14,14,14,14,14,14,12,14,14,14,14,13
25,15,2,0,7,4,0,8,2,0,9,2,10,0,11,2,1,0,12,14,12,14,14,1,14,0,14,0,14,14,14,14,14,0,14,14,14,12,14,0,14,11,14,14,14,14,14,14,14,14,12,14,14,14,14,14,14,14,14,0,14,14,14,14,14,14,0,14,14,14,14,14,14,14,14,14,14,14,0,14,14,0,14
26,15,2,2,1,0,7,4,0,8,5,9,9,4,1,0,10,5,12,1,1,14,0,14,1,14,0,14,12,14,14,0,14,12,0,14,14,1,14,4,14,11,14,0,14,14,14,14,0,14,11,4,14,14,14,14,14,14,1,0,14,14,0,14,14,0,14,0,14,0,14,14,0,14,14,11,14,0,14,0,14,14,14
27,15,2,2,2,0,7,2,0,8,5,9,10,1,1,3,0,11,11,1,4,5,12,2,1,5,14,12,14,0,14,14,12,14,0,4,1,14,0,14,1,14,14,12,0,14,13,14,0,14,13,14,14,0,14,0,14,14,14,14,14,0,14,14,14,14,14,1,14,14,0,14,0,14,14,0,14,11,14,14,14,1,14
28,15,2,0,7,1,8,10,1,0,11,0,11,12,0,0,14,12,14,14,12,14,13,14,13,14,13,14,14,12,14,14,0,14,14,12,14,0,14,14,14,1,14,14,14,14,12,14,14,1,14,0,14,14,14,13,14,14,14,14,14,14,14,14,0,14,14,14,4,14,14,14,14,0,14,14,14,0,14,14,1,14,14
29,15,2,0,7,5,8,5,8,0,9,1,5,10,1,4,5,3,12,14,0,14,4,14,0,14,1,14,12,14,14,14,14,0,14,14,0,14,12,14,14,14,0,14,14,1,14,0,14,14,14,12,14,14,14,14,14,14,14,14,12,14,14,0,14,0,14,14,14,14,11,14,14,14,14,14,1,14,14,14,14,14,14
30,15,4,1,0,7,5,8,5,9,1,0,0,5,1,10,2,1,0,4,0,12,0,14,12,14,14,14,1,14,0,14,14,14,14,14,14,14,14,1,14,0,14,14,14,0,14,14,12,14,14,14,11,14,14,14,14,14,14,1,14,14,14,12,14,14,14,1,0,14,14,14,14,14,4,14,14,0,14,0,14,14,14
