,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,147,47,47,47,47,47,47,47,139,47,47,40,47,54,39,47,141,40,142,144,137,38,137,146,54,47,54,146,146,40,146,46,146,47,146,146,146,40,146,144,146,146,146,146,47,146,47,146,146,47,146,146,39,146,47,146,47,146,46,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,54,146,146,39,146,146,145
1,147,47,47,47,47,40,40,139,140,141,47,46,142,143,46,137,144,137,45,146,46,33,144,146,47,39,146,46,146,40,146,146,146,146,47,146,146,47,146,146,146,146,146,146,144,146,146,146,146,137,146,146,146,146,146,146,146,146,146,146,146,146,47,146,146,146,146,146,146,146,144,146,146,146,144,146,46,146,146,146,146,146
2,147,46,46,139,137,140,137,39,46,141,137,142,137,46,39,143,137,45,46,46,146,144,39,146,39,146,46,146,39,146,39,146,39,146,39,146,39,146,146,39,146,146,146,146,146,146,146,146,146,146,146,39,146,146,146,39,146,146,146,146,146,146,146,146,146,39,146,39,146,146,146,39,146,39,146,146,46,146,146,39,146,146
3,147,38,39,139,137,140,137,39,141,144,44,142,137,143,146,144,137,146,146,146,146,46,146,146,46,146,39,146,146,46,146,146,146,146,46,146,47,146,146,146,47,146,46,146,146,146,33,146,38,146,146,46,146,39,146,39,146,146,30,146,146,146,146,146,146,39,146,146,141,146,146,146,46,146,146,39,146,146,146,146,146,146
4,147,37,39,139,137,140,137,141,137,25,142,137,54,143,54,39,144,137,146,146,39,146,46,146,146,146,40,146,146,146,146,146,146,146,146,146,46,146,146,39,146,146,39,146,146,146,146,146,146,146,146,146,146,146,146,32,146,146,146,146,39,146,146,39,146,146,146,146,39,146,146,146,146,146,146,146,146,46,146,46,146,145
5,147,37,39,139,137,140,137,39,39,39,39,142,137,82,137,37,54,24,39,146,146,40,146,47,146,39,146,47,146,146,39,146,146,146,146,39,146,146,146,39,146,146,46,146,146,146,146,146,46,146,146,39,146,32,146,146,46,146,146,146,46,146,146,146,146,146,39,146,146,146,146,146,146,146,146,146,146,39,146,39,146,146
6,147,44,46,39,46,46,139,44,46,46,140,44,39,54,141,137,143,44,46,144,32,146,146,46,146,39,146,146,146,146,39,146,146,146,39,146,146,46,146,39,146,46,146,146,146,146,146,146,146,39,146,146,146,146,46,146,146,39,146,46,146,146,146,39,146,146,146,146,146,39,146,146,146,146,46,146,146,146,146,146,146,146
7,147,44,46,39,46,139,44,39,140,26,46,141,44,44,39,142,44,44,32,143,39,40,47,137,39,144,146,39,25,40,146,146,146,146,146,146,146,30,146,146,146,144,146,146,146,146,146,39,146,146,146,146,146,146,146,146,144,146,146,146,146,146,146,146,146,146,146,39,146,146,146,146,146,146,146,39,146,146,146,146,146,146
8,147,44,32,32,39,139,66,140,44,141,44,142,137,143,44,32,32,44,146,137,146,25,144,146,146,146,146,146,146,46,146,39,146,44,146,146,146,146,146,146,146,146,38,146,146,39,146,146,146,146,39,146,146,39,146,32,146,146,137,146,146,146,146,146,146,46,146,146,146,146,146,146,146,146,146,146,46,146,146,146,146,146
9,147,44,32,32,39,139,44,40,140,137,141,44,44,143,54,144,44,46,146,32,146,32,146,146,146,45,146,32,146,146,146,39,146,146,146,146,146,146,146,146,46,146,39,146,146,146,146,146,146,146,146,38,146,146,146,146,146,146,47,146,146,39,146,146,146,146,46,146,146,146,146,146,146,146,146,39,146,39,146,146,39,146
