,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,35,8,11,12,12,18,21,21,27,14,14,14,14,14,21,20,29,25,29,9,14,14,16,18,31,25,32,25,34,19,34,19,34,21,34,21,34,20,34,21,34,20,34,34,18,34,17,34,34,19,34,34,20,34,20,34,19,34,19,34,34,22,34,34,34,20,21,34,18,34,18,34,19,34,34,20,34,34,22,34,34,33
1,35,10,10,12,18,20,21,27,25,28,25,30,25,29,10,17,29,25,30,25,30,10,11,22,22,23,31,6,21,20,32,34,19,34,19,34,34,19,34,34,34,34,34,18,20,22,34,18,34,18,34,34,34,20,34,34,34,34,34,34,20,34,19,34,34,34,34,18,34,34,19,21,34,34,22,34,17,34,34,34,34,34
2,35,6,19,27,25,28,11,21,21,29,25,30,10,19,22,31,25,32,8,8,11,14,17,34,23,34,17,34,19,34,22,34,20,34,17,34,18,34,34,20,34,34,34,34,34,34,34,34,34,34,34,18,34,34,34,18,34,34,34,34,34,34,34,34,34,17,34,18,34,34,34,17,34,17,34,34,18,34,34,18,34,34
3,35,14,16,27,25,28,10,14,29,11,19,30,25,31,8,22,32,34,22,34,34,20,34,34,20,34,20,34,34,22,34,34,34,34,20,34,17,34,34,34,18,34,18,34,34,34,18,34,18,34,34,19,34,21,34,21,34,34,18,34,34,34,34,34,34,20,34,34,19,17,34,34,17,34,34,18,34,34,34,34,34,34
4,35,7,14,27,25,28,25,29,25,30,7,18,18,31,8,17,32,7,17,34,21,34,17,34,34,34,19,34,34,34,34,34,34,34,34,34,19,34,34,20,34,34,22,34,34,34,34,34,34,34,34,34,34,34,34,21,34,34,34,34,21,34,34,18,34,34,34,34,17,34,34,34,34,34,34,34,34,17,34,19,34,33
5,35,6,19,27,25,28,25,29,18,21,21,30,5,8,31,25,32,18,17,19,34,20,34,21,34,18,34,22,34,34,18,34,34,17,34,19,34,34,34,16,34,34,19,34,34,34,34,34,19,34,34,17,34,20,34,34,21,34,34,34,19,34,34,34,34,34,21,34,34,34,34,34,34,34,34,34,34,18,34,18,34,34
6,35,9,10,13,15,14,27,10,14,17,28,25,23,18,30,25,31,7,17,32,6,17,34,18,34,20,34,34,34,34,18,34,34,34,18,34,34,18,34,18,34,19,34,34,34,34,34,34,34,20,34,34,34,34,20,34,34,19,34,18,34,34,34,21,20,34,34,34,34,18,34,34,34,34,19,34,34,34,34,34,34,34
7,35,10,11,12,14,27,9,17,28,8,11,29,6,7,14,30,8,11,14,14,14,31,4,32,8,12,19,32,25,32,9,10,34,34,34,34,34,20,34,34,34,19,34,34,34,34,34,14,34,20,34,34,34,34,34,34,20,34,34,34,17,34,34,34,34,34,34,18,34,34,34,34,34,34,34,18,34,34,34,34,34,34
8,35,9,12,20,21,27,14,28,6,12,15,30,25,31,14,15,20,21,34,21,34,23,22,34,34,34,34,34,34,21,34,20,34,19,34,34,34,34,34,34,34,34,19,34,34,19,34,34,34,34,21,34,34,20,34,20,34,34,20,34,34,34,34,34,34,19,34,34,34,34,34,34,34,34,34,34,18,34,34,34,34,34
9,35,10,17,20,21,27,7,18,28,5,15,20,19,31,25,32,7,16,34,18,34,19,34,34,34,19,34,18,34,34,34,19,34,34,34,34,34,34,34,34,19,34,19,34,34,34,34,34,34,34,34,19,34,34,34,34,34,34,18,34,34,18,34,34,34,34,21,34,34,34,34,34,34,34,34,20,34,22,34,34,20,34
10,35,12,17,18,27,6,16,28,5,9,11,12,14,30,9,18,31,25,32,5,17,18,17,21,34,18,34,20,34,34,34,18,34,34,22,34,19,34,21,21,34,34,34,34,34,17,34,34,17,34,19,34,34,34,22,34,18,34,34,34,17,34,34,17,34,34,34,34,34,34,17,34,34,20,34,34,34,34,34,34,34,34
11,35,12,17,18,27,15,28,18,19,29,25,30,14,31,25,32,25,34,34,34,34,34,34,34,18,34,34,34,34,20,34,34,34,19,34,34,19,34,34,34,34,34,34,20,34,34,34,34,18,34,34,34,17,34,20,34,34,34,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,19,34,19,34,34
12,35,12,15,27,12,17,28,10,16,15,28,25,29,6,8,14,31,25,32,25,34,17,34,18,34,20,34,34,17,34,17,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,21,22,34,18,34,20,34,34,34,34,34,34,34,34,34,34,34,18,18,34,34,34,34,34,34,34,34,34,34,18,34,19,34,18,34,34
13,35,14,17,18,27,25,28,25,29,25,29,9,12,30,7,11,12,31,7,34,18,34,34,22,34,34,34,34,18,34,19,34,34,34,18,34,34,18,34,34,34,34,34,34,34,34,21,18,34,34,34,15,34,34,34,34,34,34,21,34,34,34,20,20,34,34,18,34,34,21,34,17,34,34,22,34,34,34,23,34,34,33
14,35,7,17,27,6,18,28,9,29,10,30,25,31,25,32,14,34,22,34,34,34,21,34,34,34,20,34,34,21,34,34,18,34,34,34,34,34,34,34,34,34,18,34,34,20,34,34,34,34,17,34,34,18,34,34,19,34,18,34,34,34,34,34,34,34,34,19,34,34,34,34,20,34,34,34,34,34,34,18,34,34,33
